rxn,pos,sample,mix,rep,tech,drug,conc,timepoint,exp
PCR1-054,E6,42,RPP,A,,DOX,1,20,EXP20230927
PCR1-055,E7,43,RPP,A,,DOX,4,20,EXP20230927
PCR1-056,E8,44,RPP,A,,MIN,0.5,20,EXP20230927
PCR1-057,E9,45,RPP,A,,MIN,1,20,EXP20230927
PCR1-058,E10,46,RPP,A,,MIN,4,20,EXP20230927
PCR1-059,E11,47,DES1,B,,TIG,0.5,20,EXP20230927
PCR1-060,E12,48,DES1,B,,TIG,2,20,EXP20230927
PCR1-061,F1,49,DES1,D,,TIG,0.25,20,EXP20230927
PCR1-062,F2,50,RPP,B,,TET,0.5,20,EXP20230927
PCR1-063,F3,51,RPP,B,,TET,1,20,EXP20230927
PCR1-064,F4,52,RPP,B,,TET,4,20,EXP20230927
PCR1-065,F5,53,RPP,B,,DOX,0.5,20,EXP20230927
PCR1-066,F6,54,RPP,B,,DOX,1,20,EXP20230927
PCR1-067,F7,55,RPP,B,,DOX,4,20,EXP20230927
PCR1-068,F8,56,RPP,B,,MIN,0.5,20,EXP20230927
PCR1-069,F9,57,RPP,B,,MIN,1,20,EXP20230927
PCR1-070,F10,58,RPP,B,,MIN,4,20,EXP20230927
PCR1-071,F11,59,DES1,D,,TIG,0.5,20,EXP20230927
PCR1-072,F12,60,DES1,D,,TIG,2,20,EXP20230927
PCR1-073,G1,61,DES1,E,,TIG,0.25,20,EXP20230927
PCR1-074,G2,62,RPP,D,,TET,0.5,20,EXP20230927
PCR1-075,G3,63,RPP,D,,TET,1,20,EXP20230927
PCR1-076,G4,64,RPP,D,,TET,4,20,EXP20230927
PCR1-077,G5,65,RPP,D,,DOX,0.5,20,EXP20230927
PCR1-078,G6,66,RPP,D,,DOX,1,20,EXP20230927
PCR1-079,G7,67,RPP,D,,DOX,4,20,EXP20230927
PCR1-080,G8,68,RPP,D,,MIN,0.5,20,EXP20230927
PCR1-081,G9,69,RPP,D,,MIN,1,20,EXP20230927
PCR1-082,G10,70,RPP,D,,MIN,4,20,EXP20230927
PCR1-083,G11,71,DES1,E,,TIG,0.5,20,EXP20230927
PCR1-084,G12,72,DES1,E,,TIG,2,20,EXP20230927
PCR1-085,H1,73,minDES2,A,,TIG,2,48,EXP20230927
PCR1-086,H2,74,minDES2,B,,TIG,2,48,EXP20230927
PCR1-087,H3,75,minDES2,C,,TIG,2,48,EXP20230927
PCR1-088,H4,76,DES1,B,,TIG,2,48,EXP20230927
PCR1-089,H5,77,DES1,D,,TIG,2,48,EXP20230927
PCR1-090,H6,78,DES1,E,,TIG,2,48,EXP20230927
PCR1-091,H7,79,minDES2,A,,TIG,0.5,48,EXP20230927
PCR1-092,H8,80,minDES2,B,,TIG,0.5,48,EXP20230927
PCR1-093,H9,81,minDES2,C,,TIG,0.5,48,EXP20230927
PCR1-094,H10,82,DES1,B,,TIG,0.5,48,EXP20230927
PCR1-095,H11,83,DES1,D,,TIG,0.5,48,EXP20230927
PCR1-096,H12,84,DES1,E,,TIG,0.5,48,EXP20230927
